href,text,type
https://e-paper.sph.com.sg/st,E-paper,a
https://www.facebook.com/TheStraitsTimes,Facebook,a
https://instagram.com/straits_times,Instagram,a
https://www.youtube.com/user/StraitsTimesOnline,Youtube,a
https://www.straitstimes.com/st-podcasts,Podcasts,a
https://straitstimes.com/newsletter-signup,Newsletters,a
https://straitstimes.com/singapore/politics/officers-senior-management-involved-in-nric-saga-could-have-performance-grade-payments-reduced,,a
https://straitstimes.com/singapore/politics/officers-senior-management-involved-in-nric-saga-could-have-performance-grade-payments-reduced,"Officers, senior management involved in NRIC saga could have performance grade, payments reduced   ",a
https://straitstimes.com/singapore/politics/spore-growth-to-slow-as-trade-tensions-rise-but-green-digital-opportunities-will-emerge-dpm-gan,"S’pore growth to slow as trade tensions rise, but green, digital opportunities will emerge: DPM Gan",a
https://straitstimes.com/singapore/politics/spore-could-buy-its-first-tranche-of-carbon-credits-in-2025-mti-to-call-for-proposals,"S’pore could buy its first tranche of carbon credits in 2025, MTI to call for proposals",a
https://straitstimes.com/singapore/politics/the-us-remains-a-critical-partner-for-singapore-and-for-asean-vivian-balakrishnan,‘The US remains a critical partner for S'pore and for Asean’: Vivian,a
https://straitstimes.com/singapore/politics/kranji-fire-scdf-nea-investigating-if-facility-stored-unlicensed-toxic-waste-hazardous-substances,,a
https://straitstimes.com/singapore/politics/kranji-fire-scdf-nea-investigating-if-facility-stored-unlicensed-toxic-waste-hazardous-substances,"Kranji fire: SCDF, NEA investigating if facility stored unlicensed toxic waste, hazardous substances",a
https://straitstimes.com/singapore/courts-crime/new-charges-for-2-of-the-3-men-allegedly-linked-to-computer-servers-that-likely-contained-nvidia,,a
https://straitstimes.com/singapore/courts-crime/new-charges-for-2-of-the-3-men-allegedly-linked-to-computer-servers-that-likely-contained-nvidia,New charges for 2 of the 3 men allegedly linked to servers that likely contained Nvidia chips ,a
https://straitstimes.com/business/dbs-chief-piyush-guptas-pay-rises-to-17-6-million-in-2024-after-banks-record-earnings,,a
